experiment,fold,ap,roc_auc,f1,threshold,val_dies,val_failures
model_b_fixed,1,0.6485975275171161,0.9201935248422699,0.6096207215541165,0.30000000000000004,30834,1291
model_b_fixed,2,0.6583490980890802,0.9286882454530937,0.6033966033966034,0.47,30764,1317
model_b_fixed,3,0.686135978764717,0.9355505215485508,0.6336798336798337,0.23,30525,1306
model_b_fixed,4,0.6483644009421642,0.9232334247675119,0.5979381443298969,0.30000000000000004,31194,1300
model_b_fixed,5,0.6308565736772552,0.918740158505936,0.5901009130225853,0.29000000000000004,30720,1305
model_b_equal,1,0.6113017020698345,0.9001577949121308,0.551762114537445,0.1,30834,1291
model_b_equal,2,0.6039346345765007,0.8949527198382928,0.5567567567567567,0.1,30764,1317
model_b_equal,3,0.6033397100294101,0.8979589734951356,0.5496434448710916,0.1,30525,1306
model_b_equal,4,0.6015798971876203,0.9043259259640474,0.5346756152125279,0.1,31194,1300
model_b_equal,5,0.586342864444705,0.8883747768588367,0.5302013422818792,0.11,30720,1305
model_b_adaptive,1,0.6102439428931721,0.900440385272024,0.3762497449500102,0.6,30834,1291
model_b_adaptive,2,0.6044391796947822,0.8960557658910199,0.38149582229468104,0.6,30764,1317
model_b_adaptive,3,0.5978188092888366,0.8951949021821638,0.3759585492227979,0.6,30525,1306
model_b_adaptive,4,0.5962410228600558,0.9033308845098837,0.36442006269592475,0.6,31194,1300
model_b_adaptive,5,0.58578997348619,0.887534548211191,0.3746031746031746,0.6,30720,1305
