bin,bin_min,bin_max,mean_predicted_probability,observed_failure_rate,sample_count,experiment
1,0.0,0.1,0.013744857153202,0.014066487174259946,142253,model_b_raw
2,0.1,0.2,0.1392118657411375,0.13945215225898258,5622,model_b_raw
3,0.2,0.30000000000000004,0.2434464731217338,0.25081256771397614,1846,model_b_raw
4,0.30000000000000004,0.4,0.3452198762372065,0.3525264394829612,851,model_b_raw
5,0.4,0.5,0.4475854997987776,0.42572062084257206,451,model_b_raw
6,0.5,0.6000000000000001,0.5483451345966192,0.5906040268456376,298,model_b_raw
7,0.6000000000000001,0.7000000000000001,0.6442968266564696,0.6826923076923077,208,model_b_raw
8,0.7000000000000001,0.8,0.745936254940725,0.7887323943661971,142,model_b_raw
9,0.8,0.9,0.8519412833831759,0.9090909090909091,143,model_b_raw
10,0.9,1.0,0.9862608060653351,0.9982006297795771,2223,model_b_raw
1,0.0,0.1,0.01403241605323093,0.013867042849585611,141775,model_b_platt
2,0.1,0.2,0.13947912846088678,0.13140425531914893,5875,model_b_platt
3,0.2,0.30000000000000004,0.24392255414835223,0.24406604747162022,1938,model_b_platt
4,0.30000000000000004,0.4,0.3452985720970512,0.344097995545657,898,model_b_platt
5,0.4,0.5,0.44643893305781535,0.40702479338842973,484,model_b_platt
6,0.5,0.6000000000000001,0.5468190904537308,0.5498392282958199,311,model_b_platt
7,0.6000000000000001,0.7000000000000001,0.6450589573758783,0.6826086956521739,230,model_b_platt
8,0.7000000000000001,0.8,0.7460268921824219,0.7724137931034483,145,model_b_platt
9,0.8,0.9,0.84795196843771,0.9,140,model_b_platt
10,0.9,1.0,0.9864463609666393,0.99776885319054,2241,model_b_platt
1,0.0,0.1,0.014651325210013518,0.014462723136156808,142850,model_b_isotonic
2,0.1,0.2,0.1428253667403389,0.14359792580773834,5014,model_b_isotonic
3,0.2,0.30000000000000004,0.25053373760705994,0.2507322788517868,1707,model_b_isotonic
4,0.30000000000000004,0.4,0.3479222717995677,0.34342379958246344,958,model_b_isotonic
5,0.4,0.5,0.4368063365247416,0.4253472222222222,576,model_b_isotonic
6,0.5,0.6000000000000001,0.5767362692831649,0.6078431372549019,102,model_b_isotonic
7,0.6000000000000001,0.7000000000000001,0.6450453547676369,0.631578947368421,190,model_b_isotonic
8,0.7000000000000001,0.8,0.7397450491685522,0.7208121827411168,197,model_b_isotonic
9,0.8,0.9,0.8459586284009329,0.7731958762886598,97,model_b_isotonic
10,0.9,1.0,0.9952347852224673,0.9940323955669225,2346,model_b_isotonic
