experiment,fold,ap,roc_auc,f1,brier_score,log_loss,threshold
model_b_raw,1,0.6485975275171161,0.9201935248422699,0.6096207215541165,0.02199816843923244,0.09041917739825242,0.30000000000000004
model_b_platt,1,0.6485975275171161,0.9201935248422699,0.6091370558375635,0.022021015550650034,0.09053237175840925,0.31
model_b_isotonic,1,0.6383149205691814,0.92011065911278,0.6061739943872778,0.02203663474960509,0.09145065354609574,0.29000000000000004
model_b_raw,2,0.6583490980890802,0.9286882454530937,0.6033966033966034,0.02224354049326947,0.08945179841605565,0.47
model_b_platt,2,0.6583490980890802,0.9286882454530937,0.603,0.02228612634530668,0.08956250234551577,0.49
model_b_isotonic,2,0.6479550738252169,0.9284220245224429,0.601761252446184,0.022334142119391123,0.0895359664135691,0.41000000000000003
model_b_raw,3,0.686135978764717,0.9355505215485508,0.6336798336798337,0.021222005680330433,0.08528917931791212,0.23
model_b_platt,3,0.686135978764717,0.9355505215485508,0.6321070234113713,0.02120836215048797,0.08524416995500063,0.24000000000000002
model_b_isotonic,3,0.6780155648600432,0.9353012684953418,0.6313577133249264,0.021180394633701676,0.08509621011975382,0.25
model_b_raw,4,0.6483644009421642,0.9232334247675119,0.5979381443298969,0.021970396355533373,0.08950886989847538,0.30000000000000004
model_b_platt,4,0.6483644009421642,0.9232334247675119,0.5964104924068109,0.021960932604113775,0.08948518495699181,0.30000000000000004
model_b_isotonic,4,0.6397112470343002,0.9227063959322941,0.5961361545538179,0.02196925986250841,0.08950223779230085,0.33
model_b_raw,5,0.6308565736772552,0.918740158505936,0.5901009130225853,0.0230881090373569,0.09385620772994423,0.29000000000000004
model_b_platt,5,0.6308565736772552,0.918740158505936,0.5901009130225853,0.023068237093977186,0.09371641701297498,0.30000000000000004
model_b_isotonic,5,0.6215595727734975,0.9186570565360417,0.5900857959961868,0.02315200563603359,0.09372294680409456,0.30000000000000004
