feature,resolution,coefficient,abs_coefficient
block_raw_median,block,0.7513776734052301,0.7513776734052301
spatial_wafer_die_count,spatial,-0.4943113671951697,0.4943113671951697
block_raw_scale,block,0.373042480271689,0.373042480271689
spatial_wafer_rows,spatial,0.3598544290327623,0.3598544290327623
spatial_wafer_cols,spatial,0.33163875518141306,0.33163875518141306
block_std,block,0.27030590383951875,0.27030590383951875
block_scan_gauss100,block,0.26316141268798804,0.26316141268798804
spatial_radius,spatial,0.22545421823928646,0.22545421823928646
block_scan_gauss150,block,0.1615385440920097,0.1615385440920097
feature_171,parametric,0.08368080761802685,0.08368080761802685
feature_272,parametric,-0.083545713348253,0.083545713348253
feature_109,parametric,-0.08164810549172118,0.08164810549172118
feature_262,parametric,-0.08116751880652895,0.08116751880652895
feature_460,parametric,0.08090341916288904,0.08090341916288904
feature_397,parametric,-0.08069763722364404,0.08069763722364404
block_kurtosis,block,0.0805820883367062,0.0805820883367062
feature_245,parametric,-0.07983120563530866,0.07983120563530866
feature_85,parametric,0.07933917902518535,0.07933917902518535
feature_163,parametric,-0.07926480677691486,0.07926480677691486
feature_277,parametric,-0.07910731906576007,0.07910731906576007
feature_60,parametric,0.07905411740335769,0.07905411740335769
feature_436,parametric,-0.07875376498993053,0.07875376498993053
feature_336,parametric,0.07854899909659373,0.07854899909659373
feature_290,parametric,-0.07838448251161145,0.07838448251161145
feature_349,parametric,-0.07773754312935223,0.07773754312935223
feature_282,parametric,-0.07741746943751099,0.07741746943751099
feature_204,parametric,-0.07723948598420112,0.07723948598420112
feature_472,parametric,0.07698419716732417,0.07698419716732417
feature_365,parametric,0.07688206942468195,0.07688206942468195
feature_209,parametric,-0.07664999815977692,0.07664999815977692
feature_242,parametric,0.07658961983249629,0.07658961983249629
feature_244,parametric,-0.07619711021621706,0.07619711021621706
feature_235,parametric,-0.07604210649644429,0.07604210649644429
feature_396,parametric,-0.07600828519903659,0.07600828519903659
feature_457,parametric,0.07598373940222797,0.07598373940222797
feature_246,parametric,0.07589783833796941,0.07589783833796941
feature_229,parametric,0.07588606045653083,0.07588606045653083
feature_285,parametric,0.07558082282824406,0.07558082282824406
feature_387,parametric,0.07548134878652124,0.07548134878652124
feature_8,parametric,0.07546501821634052,0.07546501821634052
feature_446,parametric,0.07501596688717578,0.07501596688717578
feature_33,parametric,-0.07496403704329298,0.07496403704329298
feature_225,parametric,0.07490349413086635,0.07490349413086635
feature_178,parametric,0.07481534447728079,0.07481534447728079
feature_238,parametric,-0.07473532396949976,0.07473532396949976
feature_263,parametric,-0.0744766606963899,0.0744766606963899
feature_276,parametric,0.07431058491256158,0.07431058491256158
feature_255,parametric,0.07402813195175133,0.07402813195175133
feature_362,parametric,0.0737628129935687,0.0737628129935687
feature_223,parametric,-0.07375475307355524,0.07375475307355524
feature_58,parametric,0.0735750706091545,0.0735750706091545
feature_183,parametric,0.07338403728124196,0.07338403728124196
feature_205,parametric,0.07337925028083316,0.07337925028083316
feature_29,parametric,0.07337906700408031,0.07337906700408031
feature_113,parametric,0.07319240266728455,0.07319240266728455
feature_123,parametric,-0.07314142579691522,0.07314142579691522
feature_286,parametric,-0.07272857360791128,0.07272857360791128
feature_243,parametric,0.07264129904210488,0.07264129904210488
feature_379,parametric,0.0723388329395011,0.0723388329395011
feature_309,parametric,-0.07224707160300486,0.07224707160300486
feature_419,parametric,-0.07215198305200028,0.07215198305200028
feature_480,parametric,0.07210361627537319,0.07210361627537319
feature_478,parametric,-0.07190565490278318,0.07190565490278318
feature_320,parametric,-0.07178015114544145,0.07178015114544145
feature_325,parametric,-0.07175079486299385,0.07175079486299385
feature_221,parametric,-0.07170310633657567,0.07170310633657567
block_q95,block,0.07155597627198418,0.07155597627198418
feature_433,parametric,-0.07136230469544307,0.07136230469544307
feature_132,parametric,-0.07121439335714787,0.07121439335714787
feature_444,parametric,-0.07120627409144106,0.07120627409144106
feature_46,parametric,0.07091985318635617,0.07091985318635617
feature_77,parametric,0.07068948193224839,0.07068948193224839
feature_284,parametric,0.07057519618020043,0.07057519618020043
feature_348,parametric,-0.07040403779817625,0.07040403779817625
feature_447,parametric,-0.07031662019162638,0.07031662019162638
feature_97,parametric,-0.07031538590018122,0.07031538590018122
feature_295,parametric,0.07031400026983092,0.07031400026983092
feature_13,parametric,0.07027645283890929,0.07027645283890929
feature_333,parametric,-0.07007156946958105,0.07007156946958105
feature_342,parametric,-0.06985862708153272,0.06985862708153272
feature_115,parametric,0.06935954536766482,0.06935954536766482
feature_294,parametric,0.0692509019643081,0.0692509019643081
feature_233,parametric,0.06919085658001801,0.06919085658001801
feature_227,parametric,0.06910924633438026,0.06910924633438026
feature_146,parametric,0.06904793718822493,0.06904793718822493
feature_312,parametric,-0.06884806748574346,0.06884806748574346
feature_269,parametric,0.0687712458995055,0.0687712458995055
feature_280,parametric,0.06864910074274164,0.06864910074274164
feature_236,parametric,0.068454497744845,0.068454497744845
feature_358,parametric,0.068264813630353,0.068264813630353
feature_169,parametric,-0.06826262784173395,0.06826262784173395
feature_486,parametric,0.06819577703716193,0.06819577703716193
feature_216,parametric,-0.06797022106277338,0.06797022106277338
feature_191,parametric,0.06795387817624772,0.06795387817624772
feature_156,parametric,0.06784894527154908,0.06784894527154908
feature_43,parametric,-0.06783619592763306,0.06783619592763306
feature_231,parametric,-0.06776526889861811,0.06776526889861811
feature_65,parametric,0.06775251994606729,0.06775251994606729
feature_3,parametric,0.06770192419456637,0.06770192419456637
feature_475,parametric,-0.06769255630437673,0.06769255630437673
feature_399,parametric,0.06735128006334426,0.06735128006334426
feature_385,parametric,0.06695638913337765,0.06695638913337765
feature_497,parametric,0.06695013281470154,0.06695013281470154
feature_254,parametric,-0.06680803530151447,0.06680803530151447
feature_28,parametric,-0.06671997750591473,0.06671997750591473
feature_474,parametric,-0.06669469106515041,0.06669469106515041
feature_174,parametric,-0.06669185010233927,0.06669185010233927
feature_381,parametric,0.06651419467911796,0.06651419467911796
feature_293,parametric,0.06642229424584693,0.06642229424584693
feature_426,parametric,-0.06619176346200575,0.06619176346200575
feature_189,parametric,-0.06614270459110871,0.06614270459110871
feature_193,parametric,0.06605874178538217,0.06605874178538217
feature_275,parametric,0.06603643634039996,0.06603643634039996
feature_99,parametric,-0.06590589566808759,0.06590589566808759
feature_100,parametric,-0.06513727783713756,0.06513727783713756
feature_425,parametric,-0.06500800161563952,0.06500800161563952
block_scan_gauss400,block,0.06494322360306805,0.06494322360306805
feature_195,parametric,0.0647722779809854,0.0647722779809854
feature_31,parametric,-0.06459872080778446,0.06459872080778446
feature_495,parametric,0.06414414829909905,0.06414414829909905
feature_220,parametric,0.0641293519278252,0.0641293519278252
feature_159,parametric,-0.06411126487684722,0.06411126487684722
feature_440,parametric,0.06406627025652306,0.06406627025652306
feature_130,parametric,-0.06406481767148865,0.06406481767148865
feature_467,parametric,0.06396342768885921,0.06396342768885921
feature_350,parametric,0.06396142511133408,0.06396142511133408
feature_37,parametric,-0.06378884473847124,0.06378884473847124
feature_403,parametric,-0.06351913647188033,0.06351913647188033
feature_153,parametric,0.0633111825755088,0.0633111825755088
feature_197,parametric,0.06302476776917687,0.06302476776917687
feature_69,parametric,0.06301248741500669,0.06301248741500669
feature_218,parametric,0.0630087528345714,0.0630087528345714
block_bottom1pct_mean,block,0.06300508621771125,0.06300508621771125
feature_168,parametric,0.06250651658250189,0.06250651658250189
feature_207,parametric,-0.06247978451297529,0.06247978451297529
feature_88,parametric,-0.06206304158917323,0.06206304158917323
feature_332,parametric,-0.06201127631165041,0.06201127631165041
feature_190,parametric,0.06196339869189554,0.06196339869189554
feature_337,parametric,0.06180332895588211,0.06180332895588211
feature_466,parametric,-0.06152381419250063,0.06152381419250063
feature_404,parametric,-0.061375761645746985,0.061375761645746985
feature_482,parametric,-0.061356543727934164,0.061356543727934164
feature_75,parametric,0.061330779044453165,0.061330779044453165
feature_89,parametric,-0.06126895862433338,0.06126895862433338
feature_251,parametric,-0.061189262610546226,0.061189262610546226
feature_164,parametric,0.061153479510378604,0.061153479510378604
feature_500,parametric,0.060912997717695504,0.060912997717695504
feature_20,parametric,0.06087647552532834,0.06087647552532834
feature_237,parametric,0.06060125661587001,0.06060125661587001
feature_283,parametric,0.060287478740144514,0.060287478740144514
feature_359,parametric,-0.05987558238328248,0.05987558238328248
feature_250,parametric,-0.05986766892918331,0.05986766892918331
feature_17,parametric,-0.059857025808022206,0.059857025808022206
feature_258,parametric,-0.05984963911127532,0.05984963911127532
feature_299,parametric,-0.05979783816400555,0.05979783816400555
feature_188,parametric,-0.05976801724808661,0.05976801724808661
feature_345,parametric,0.059746430868014615,0.059746430868014615
feature_265,parametric,-0.05948175755362442,0.05948175755362442
feature_455,parametric,0.05946192524910889,0.05946192524910889
feature_133,parametric,0.05937381161842102,0.05937381161842102
feature_81,parametric,-0.059120083053323946,0.059120083053323946
feature_126,parametric,-0.05911142170958421,0.05911142170958421
feature_173,parametric,0.05910780420391428,0.05910780420391428
feature_464,parametric,0.058701160709482246,0.058701160709482246
feature_271,parametric,-0.058524049673420175,0.058524049673420175
feature_418,parametric,0.05825485586634431,0.05825485586634431
feature_308,parametric,-0.05811936747721862,0.05811936747721862
feature_441,parametric,0.05803659775457321,0.05803659775457321
feature_414,parametric,-0.05786702079317415,0.05786702079317415
feature_389,parametric,0.057702984646723576,0.057702984646723576
