experiment,repeat,fold,validation_wafers,validation_rows,validation_failures,average_precision
block_only,0,0,31,30819,1301,0.14610947584457387
block_only,0,1,32,30731,1289,0.134470057165882
block_only,0,2,32,30508,1311,0.1415403968127666
block_only,0,3,33,31158,1319,0.13722096699432373
block_only,0,4,32,30821,1299,0.12949704293192277
block_only,1,0,32,30827,1290,0.14443427613978138
block_only,1,1,31,30718,1290,0.1348695811114109
block_only,1,2,32,30526,1314,0.1414706959810998
block_only,1,3,33,31187,1320,0.1381641944231328
block_only,1,4,32,30779,1305,0.1308692501419026
block_only,2,0,31,30835,1295,0.14648168026271918
block_only,2,1,31,30910,1298,0.13242267216247555
block_only,2,2,32,30502,1307,0.14263229568090244
block_only,2,3,33,30766,1296,0.14548653490550797
block_only,2,4,33,31024,1323,0.12485293598284916
parametric_only,0,0,31,30819,1301,0.5188876720514051
parametric_only,0,1,32,30731,1289,0.5165074366281406
parametric_only,0,2,32,30508,1311,0.5154465662738072
parametric_only,0,3,33,31158,1319,0.511419797077494
parametric_only,0,4,32,30821,1299,0.5027796882774179
parametric_only,1,0,32,30827,1290,0.515282715519537
parametric_only,1,1,31,30718,1290,0.5152370949322848
parametric_only,1,2,32,30526,1314,0.5159933987346444
parametric_only,1,3,33,31187,1320,0.5177823321573368
parametric_only,1,4,32,30779,1305,0.49965571122241603
parametric_only,2,0,31,30835,1295,0.5182876846389229
parametric_only,2,1,31,30910,1298,0.5199439720055848
parametric_only,2,2,32,30502,1307,0.5147483375794243
parametric_only,2,3,33,30766,1296,0.4943892918543189
parametric_only,2,4,33,31024,1323,0.5111069466232987
A_flat,0,0,31,30819,1301,0.514371909388624
A_flat,0,1,32,30731,1289,0.5096012113118297
A_flat,0,2,32,30508,1311,0.5245170607043573
A_flat,0,3,33,31158,1319,0.508193702974139
A_flat,0,4,32,30821,1299,0.5012207342811089
A_flat,1,0,32,30827,1290,0.511216566770656
A_flat,1,1,31,30718,1290,0.5096397572173575
A_flat,1,2,32,30526,1314,0.5250964894858053
A_flat,1,3,33,31187,1320,0.515689304569502
A_flat,1,4,32,30779,1305,0.4945819270816426
A_flat,2,0,31,30835,1295,0.5150157705329029
A_flat,2,1,31,30910,1298,0.5144581396186902
A_flat,2,2,32,30502,1307,0.5244518395114398
A_flat,2,3,33,30766,1296,0.4912775982400171
A_flat,2,4,33,31024,1323,0.514336441202174
A_stacked,0,0,31,30819,1301,0.530845562010191
A_stacked,0,1,32,30731,1289,0.5205676143288238
A_stacked,0,2,32,30508,1311,0.5370188716043527
A_stacked,0,3,33,31158,1319,0.520036725248921
A_stacked,0,4,32,30821,1299,0.5106240571691939
A_stacked,1,0,32,30827,1290,0.5267125930952388
A_stacked,1,1,31,30718,1290,0.5210995046904578
A_stacked,1,2,32,30526,1314,0.539135835761422
A_stacked,1,3,33,31187,1320,0.5262185381212339
A_stacked,1,4,32,30779,1305,0.5045725196328497
A_stacked,2,0,31,30835,1295,0.5302823133276383
A_stacked,2,1,31,30910,1298,0.5264882391006995
A_stacked,2,2,32,30502,1307,0.5376639138072222
A_stacked,2,3,33,30766,1296,0.5038495257022085
A_stacked,2,4,33,31024,1323,0.52638936898373
A_stacked_cal,0,0,31,30819,1301,0.530845562010191
A_stacked_cal,0,1,32,30731,1289,0.5205676143288238
A_stacked_cal,0,2,32,30508,1311,0.5370188716043527
A_stacked_cal,0,3,33,31158,1319,0.520036725248921
A_stacked_cal,0,4,32,30821,1299,0.5106240571691939
A_stacked_cal,1,0,32,30827,1290,0.5267125930952388
A_stacked_cal,1,1,31,30718,1290,0.5210995046904578
A_stacked_cal,1,2,32,30526,1314,0.539135835761422
A_stacked_cal,1,3,33,31187,1320,0.5262185381212339
A_stacked_cal,1,4,32,30779,1305,0.5045725196328497
A_stacked_cal,2,0,31,30835,1295,0.5302823133276383
A_stacked_cal,2,1,31,30910,1298,0.5264882391006995
A_stacked_cal,2,2,32,30502,1307,0.5376639138072222
A_stacked_cal,2,3,33,30766,1296,0.5038495257022085
A_stacked_cal,2,4,33,31024,1323,0.52638936898373
B_flat,0,0,31,30819,1301,0.5755937907970021
B_flat,0,1,32,30731,1289,0.5749211570856677
B_flat,0,2,32,30508,1311,0.5822345883295463
B_flat,0,3,33,31158,1319,0.5713748848759267
B_flat,0,4,32,30821,1299,0.5636266528079792
B_flat,1,0,32,30827,1290,0.5746322211740038
B_flat,1,1,31,30718,1290,0.5708230324953285
B_flat,1,2,32,30526,1314,0.5828211385367033
B_flat,1,3,33,31187,1320,0.5780787863389006
B_flat,1,4,32,30779,1305,0.5582022443794128
B_flat,2,0,31,30835,1295,0.576807294977621
B_flat,2,1,31,30910,1298,0.5767865198212935
B_flat,2,2,32,30502,1307,0.5825758375414148
B_flat,2,3,33,30766,1296,0.5601505809277881
B_flat,2,4,33,31024,1323,0.5679854620022944
B_stacked,0,0,31,30819,1301,0.5957208758766432
B_stacked,0,1,32,30731,1289,0.5855378161044684
B_stacked,0,2,32,30508,1311,0.594690922280645
B_stacked,0,3,33,31158,1319,0.5824777248181767
B_stacked,0,4,32,30821,1299,0.5730447497408675
B_stacked,1,0,32,30827,1290,0.5947291126033469
B_stacked,1,1,31,30718,1290,0.5821713110132514
B_stacked,1,2,32,30526,1314,0.5963553311981827
B_stacked,1,3,33,31187,1320,0.5881357772868029
B_stacked,1,4,32,30779,1305,0.5681150000825298
B_stacked,2,0,31,30835,1295,0.5967881513314042
B_stacked,2,1,31,30910,1298,0.5884314313191408
B_stacked,2,2,32,30502,1307,0.595505489120109
B_stacked,2,3,33,30766,1296,0.5740569060192977
B_stacked,2,4,33,31024,1323,0.579773716181853
B_stacked_cal,0,0,31,30819,1301,0.5957208758766432
B_stacked_cal,0,1,32,30731,1289,0.5855378161044684
B_stacked_cal,0,2,32,30508,1311,0.594690922280645
B_stacked_cal,0,3,33,31158,1319,0.5824777248181767
B_stacked_cal,0,4,32,30821,1299,0.5730447497408675
B_stacked_cal,1,0,32,30827,1290,0.5947291126033469
B_stacked_cal,1,1,31,30718,1290,0.5821713110132514
B_stacked_cal,1,2,32,30526,1314,0.5963553311981827
B_stacked_cal,1,3,33,31187,1320,0.5881357772868029
B_stacked_cal,1,4,32,30779,1305,0.5681150000825298
B_stacked_cal,2,0,31,30835,1295,0.5967881513314042
B_stacked_cal,2,1,31,30910,1298,0.5884314313191408
B_stacked_cal,2,2,32,30502,1307,0.595505489120109
B_stacked_cal,2,3,33,30766,1296,0.5740569060192977
B_stacked_cal,2,4,33,31024,1323,0.579773716181853
B_detrended,0,0,31,30819,1301,0.5756352964452893
B_detrended,0,1,32,30731,1289,0.5679252257137185
B_detrended,0,2,32,30508,1311,0.5713829639474829
B_detrended,0,3,33,31158,1319,0.5560115519374128
B_detrended,0,4,32,30821,1299,0.5563922842868786
B_detrended,1,0,32,30827,1290,0.5762865553386007
B_detrended,1,1,31,30718,1290,0.5654012669251826
B_detrended,1,2,32,30526,1314,0.5724143989933028
B_detrended,1,3,33,31187,1320,0.5618114927725817
B_detrended,1,4,32,30779,1305,0.5491855496867226
B_detrended,2,0,31,30835,1295,0.5778039392638347
B_detrended,2,1,31,30910,1298,0.573309810190863
