experiment,repeat,fold,validation_wafers,validation_rows,validation_failures,average_precision
block_only,0,0,31,30819,1301,0.1461089636721916
block_only,0,1,32,30731,1289,0.1344285463984304
block_only,0,2,32,30508,1311,0.14153959994538853
block_only,0,3,33,31158,1319,0.13722105711534432
block_only,0,4,32,30821,1299,0.12949733112213407
block_only,1,0,32,30827,1290,0.14443686624145533
block_only,1,1,31,30718,1290,0.1348778648338989
block_only,1,2,32,30526,1314,0.14147633399847362
block_only,1,3,33,31187,1320,0.13821418172053543
block_only,1,4,32,30779,1305,0.13086757268682914
block_only,2,0,31,30835,1295,0.14648152051837435
block_only,2,1,31,30910,1298,0.13242038214515847
block_only,2,2,32,30502,1307,0.1426366908368884
block_only,2,3,33,30766,1296,0.14548164448024525
block_only,2,4,33,31024,1323,0.12485327690299841
parametric_only,0,0,31,30819,1301,0.5188879028553808
parametric_only,0,1,32,30731,1289,0.5165075423729311
parametric_only,0,2,32,30508,1311,0.5154465690213693
parametric_only,0,3,33,31158,1319,0.5114198015882936
parametric_only,0,4,32,30821,1299,0.5027796490151522
parametric_only,1,0,32,30827,1290,0.5152829358799891
parametric_only,1,1,31,30718,1290,0.5152371526147036
parametric_only,1,2,32,30526,1314,0.5159934535769035
parametric_only,1,3,33,31187,1320,0.5177825193581554
parametric_only,1,4,32,30779,1305,0.49965540050615204
parametric_only,2,0,31,30835,1295,0.5182876721992176
parametric_only,2,1,31,30910,1298,0.5199439704393524
parametric_only,2,2,32,30502,1307,0.5147482595265095
parametric_only,2,3,33,30766,1296,0.4943893504498884
parametric_only,2,4,33,31024,1323,0.511106976264637
A_flat,0,0,31,30819,1301,0.5143725539128696
A_flat,0,1,32,30731,1289,0.5096008255911071
A_flat,0,2,32,30508,1311,0.5245171178638117
A_flat,0,3,33,31158,1319,0.5081917369753037
A_flat,0,4,32,30821,1299,0.501221777939518
A_flat,1,0,32,30827,1290,0.5112740502956096
A_flat,1,1,31,30718,1290,0.5096389177380183
A_flat,1,2,32,30526,1314,0.5250964751197648
A_flat,1,3,33,31187,1320,0.5156902515785164
A_flat,1,4,32,30779,1305,0.49458020786537576
A_flat,2,0,31,30835,1295,0.5150163762893043
A_flat,2,1,31,30910,1298,0.514443074335002
A_flat,2,2,32,30502,1307,0.5244517996490426
A_flat,2,3,33,30766,1296,0.4912774571348566
A_flat,2,4,33,31024,1323,0.5143361146777113
A_stacked,0,0,31,30819,1301,0.530845562010191
A_stacked,0,1,32,30731,1289,0.5205676143288238
A_stacked,0,2,32,30508,1311,0.5370188716043527
A_stacked,0,3,33,31158,1319,0.520036725248921
A_stacked,0,4,32,30821,1299,0.5106240571691939
A_stacked,1,0,32,30827,1290,0.5267125930952388
A_stacked,1,1,31,30718,1290,0.5210995046904578
A_stacked,1,2,32,30526,1314,0.539135835761422
A_stacked,1,3,33,31187,1320,0.5262185381212339
A_stacked,1,4,32,30779,1305,0.5045725196328497
A_stacked,2,0,31,30835,1295,0.5302823133276383
A_stacked,2,1,31,30910,1298,0.5264882391006995
A_stacked,2,2,32,30502,1307,0.5376639138072222
A_stacked,2,3,33,30766,1296,0.5038495257022085
A_stacked,2,4,33,31024,1323,0.52638936898373
A_stacked_cal,0,0,31,30819,1301,0.530845562010191
A_stacked_cal,0,1,32,30731,1289,0.5205676143288238
A_stacked_cal,0,2,32,30508,1311,0.5370188716043527
A_stacked_cal,0,3,33,31158,1319,0.520036725248921
A_stacked_cal,0,4,32,30821,1299,0.5106240571691939
A_stacked_cal,1,0,32,30827,1290,0.5267125930952388
A_stacked_cal,1,1,31,30718,1290,0.5210995046904578
A_stacked_cal,1,2,32,30526,1314,0.539135835761422
A_stacked_cal,1,3,33,31187,1320,0.5262185381212339
A_stacked_cal,1,4,32,30779,1305,0.5045725196328497
A_stacked_cal,2,0,31,30835,1295,0.5302823133276383
A_stacked_cal,2,1,31,30910,1298,0.5264882391006995
A_stacked_cal,2,2,32,30502,1307,0.5376639138072222
A_stacked_cal,2,3,33,30766,1296,0.5038495257022085
A_stacked_cal,2,4,33,31024,1323,0.52638936898373
B_flat,0,0,31,30819,1301,0.5755964842714841
B_flat,0,1,32,30731,1289,0.5746501601234594
B_flat,0,2,32,30508,1311,0.582232961155665
B_flat,0,3,33,31158,1319,0.5713766194599285
B_flat,0,4,32,30821,1299,0.563616324623075
B_flat,1,0,32,30827,1290,0.5746317575010845
B_flat,1,1,31,30718,1290,0.5708220545927277
B_flat,1,2,32,30526,1314,0.5828221707328594
B_flat,1,3,33,31187,1320,0.5780927530657917
B_flat,1,4,32,30779,1305,0.5582038922982389
B_flat,2,0,31,30835,1295,0.5768082112628092
B_flat,2,1,31,30910,1298,0.5767862941163717
B_flat,2,2,32,30502,1307,0.5825769000578949
B_flat,2,3,33,30766,1296,0.5601586603101806
B_flat,2,4,33,31024,1323,0.5679829250936589
B_stacked,0,0,31,30819,1301,0.5957208758766432
B_stacked,0,1,32,30731,1289,0.5855378161044684
B_stacked,0,2,32,30508,1311,0.594690922280645
B_stacked,0,3,33,31158,1319,0.5824777248181767
B_stacked,0,4,32,30821,1299,0.5730447497408675
B_stacked,1,0,32,30827,1290,0.5947291126033469
B_stacked,1,1,31,30718,1290,0.5821713110132514
B_stacked,1,2,32,30526,1314,0.5963553311981827
B_stacked,1,3,33,31187,1320,0.5881357772868029
B_stacked,1,4,32,30779,1305,0.5681150000825298
B_stacked,2,0,31,30835,1295,0.5967881513314042
B_stacked,2,1,31,30910,1298,0.5884314313191408
B_stacked,2,2,32,30502,1307,0.595505489120109
B_stacked,2,3,33,30766,1296,0.5740569060192977
B_stacked,2,4,33,31024,1323,0.579773716181853
B_stacked_cal,0,0,31,30819,1301,0.5957208758766432
B_stacked_cal,0,1,32,30731,1289,0.5855378161044684
B_stacked_cal,0,2,32,30508,1311,0.594690922280645
B_stacked_cal,0,3,33,31158,1319,0.5824777248181767
B_stacked_cal,0,4,32,30821,1299,0.5730447497408675
B_stacked_cal,1,0,32,30827,1290,0.5947291126033469
B_stacked_cal,1,1,31,30718,1290,0.5821713110132514
B_stacked_cal,1,2,32,30526,1314,0.5963553311981827
B_stacked_cal,1,3,33,31187,1320,0.5881357772868029
B_stacked_cal,1,4,32,30779,1305,0.5681150000825298
B_stacked_cal,2,0,31,30835,1295,0.5967881513314042
B_stacked_cal,2,1,31,30910,1298,0.5884314313191408
B_stacked_cal,2,2,32,30502,1307,0.595505489120109
B_stacked_cal,2,3,33,30766,1296,0.5740569060192977
B_stacked_cal,2,4,33,31024,1323,0.579773716181853
B_detrended,0,0,31,30819,1301,0.5756352964452893
B_detrended,0,1,32,30731,1289,0.5679252257137185
B_detrended,0,2,32,30508,1311,0.5713829639474829
B_detrended,0,3,33,31158,1319,0.5560115519374128
B_detrended,0,4,32,30821,1299,0.5563922842868786
B_detrended,1,0,32,30827,1290,0.5762865553386007
B_detrended,1,1,31,30718,1290,0.5654012669251826
B_detrended,1,2,32,30526,1314,0.5724143989933028
B_detrended,1,3,33,31187,1320,0.5618114927725817
B_detrended,1,4,32,30779,1305,0.5491855496867226
B_detrended,2,0,31,30835,1295,0.5778039392638347
B_detrended,2,1,31,30910,1298,0.573309810190863
B_detrended,2,2,32,30502,1307,0.5711835560477282
B_detrended,2,3,33,30766,1296,0.5497033014314066
B_detrended,2,4,33,31024,1323,0.560518498662718
