threshold,average_precision,accuracy,pass_precision,pass_recall,pass_f1,fail_precision,fail_recall,fail_f1,tn,fp,fn,tp,roc_auc,calibration,experiment,note,eligible_rows,eligible_failures,wafers,opt_use_parametric,opt_use_block,seconds,opt_correct_prior,opt_use_rate,opt_use_hazard,opt_smooth_evidence,opt_use_old_fails,opt_rounds,opt_subtract_density,opt_evidence_level
0.10183801218251044,0.656406131352438,0.9713770068230361,0.9792055933940088,0.9911604007646524,0.9851467303604335,0.7236116998728275,0.5236999539806719,0.6076354898994394,146214,1304,3105,3414,0.9262913321139584,0.5746740752472893,B_evidence_level_none,ablation: leave the head's constant on the prior side,154037,6519,160,,,153.2,,,,,,,,none
0.29529745061395934,0.6560663817926177,0.9720976129111837,0.9785485164394547,0.9926246288588512,0.9855363140147666,0.7525585626563566,0.5075931891394385,0.6062660315133749,146430,1088,3210,3309,0.9261483932445083,0.9968910750308592,B_three_rounds,ablation: refit it twice,154037,6519,160,,,753.5,,,,,,3.0,,
0.2976039737165375,0.6556429328875916,0.9722014840590247,0.9784868649616505,0.9928008785368565,0.9855919029320915,0.7564778720476955,0.5060592115355116,0.6064338235294118,146456,1062,3220,3299,0.925969555360144,0.9957901311811094,B_two_rounds,ablation: refit the head against the recovered rates,154037,6519,160,,,855.8,,,,,,2.0,,
0.28445445804456576,0.6548776978423778,0.9716237007991586,0.9788069546369821,0.9918450629753657,0.9852828778354281,0.735836627140975,0.5140358950759318,0.6052560281766459,146315,1203,3168,3351,0.9256046401005885,0.9969379897658742,B_full,"Model B, smooth ratios plus the recovered wafer rate",154037,6519,160,,,320.9,,,,,,,,
0.28445445804456576,0.6548776978423778,0.9716237007991586,0.9788069546369821,0.9918450629753657,0.9852828778354281,0.735836627140975,0.5140358950759318,0.6052560281766459,146315,1203,3168,3351,0.9256046401005885,0.9969379897658742,B_keep_density_offset,ablation: leave the generator's density term in the parametric score,154037,6519,160,,,406.6,,,,,,,False,
0.2915824840849692,0.6533343290498407,0.9718963625622415,0.978435342782489,0.992529725186079,0.9854321394799452,0.7492034592626309,0.5049854272127627,0.6033171446898195,146416,1102,3227,3292,0.9250521043166912,0.9793225686858072,B_no_old_fails,ablation: parametric direction without pre-test fails,154037,6519,160,,,498.1,,,,,False,,,
0.2949305046038406,0.6529397577809898,0.9717989833611405,0.9785611145279033,0.9922924660041487,0.9853789556589231,0.7444369521240728,0.5080533824206167,0.6039387308533917,146381,1137,3207,3312,0.9254659760870403,0.9955260518169607,B_no_prior_correction,ablation: hazard shape taken as exact,154037,6519,160,,,388.4,False,,,,,,,
0.5254793889968773,0.6494219925634679,0.9712147081545343,0.978650663027043,0.9915739096245881,0.985069902755704,0.7280682563990374,0.5105077465868998,0.6001803426510369,146275,1243,3191,3328,0.9227444110699272,1.8595175401508808,B_evidence_level_mean_exp,ablation: move the constant so E[exp(evidence)] = 1 over passes,154037,6519,160,,,154.6,,,,,,,,mean_exp
0.29254364609227174,0.601998053733814,0.9712276920480144,0.9761850880579332,0.9942108759608996,0.9851155292853304,0.7749670619235837,0.4511428133149256,0.5702928058949002,146664,854,3578,2941,0.8978439993546143,0.9997128817884319,B_smooth,"Model B, smooth per-channel log-likelihood ratios",154037,6519,160,,,260.5,,False,,,,,,
0.301078643524967,0.6019233110885738,0.9711303128469134,0.9762397725835336,0.9940481839504332,0.9850634977680895,0.7706374085684431,0.4525233931584599,0.5702135884797526,146640,878,3569,2950,0.898089998542348,0.9996429528320885,B_linear,"Model B, one coefficient per channel (no spline)",154037,6519,160,,,260.6,,False,,False,,,,
0.31916940874126926,0.5817892865377196,0.9713640229295559,0.9746469343486942,0.9960072669098008,0.9852113360758241,0.8207547169811321,0.41371375977910724,0.5501274859765426,146929,589,3822,2697,0.8962654316032924,0.9936875277796534,A_full,"Model A, plus the recovered per-wafer rate",154037,6519,160,,False,246.2,,,,,,,,
0.3059117784103243,0.5273947388380887,0.9718249511481007,0.9731155081486181,0.9981561572147127,0.9854767896343096,0.9001101726037458,0.37597791072250347,0.5304046743129193,147246,272,4068,2451,0.8544876173833471,0.999913338394389,A_linear,"Model A, one coefficient per channel (no spline)",154037,6519,160,,False,244.4,,False,,False,,,,
0.3115080359161411,0.527331552058277,0.9720197095503028,0.9730270720202941,0.9984612047343375,0.9855800757464235,0.9147577919639505,0.37367694431661297,0.530603354389022,147291,227,4083,2436,0.8544198914371279,1.0000217659787187,A_smooth,"Model A, smooth per-channel log-likelihood ratios",154037,6519,160,,False,482.1,,False,,,,,,
0.26348599710494874,0.5257224632015035,0.9712991034621552,0.9733264532518309,0.9973630336636885,0.9851981558797237,0.8647426981919333,0.3815002300966406,0.529430548163917,147129,389,4032,2487,0.853164291076937,1.0000331734675296,parametric_only,die measurements alone,154037,6519,160,,False,179.5,False,False,False,,,,,
0.11019921781147952,0.15910071723320635,0.9210514356940216,0.9669576016835133,0.9500264374517008,0.9584172499512742,0.1900681168973852,0.265378125479368,0.22149670315600795,140146,7372,4789,1730,0.7446585581915337,0.9997584694015602,block_only,sub-die readings alone,154037,6519,160,False,,360.2,False,False,False,,,,,
0.06248316092546169,0.052258844471678924,0.6989943974499633,0.9624641100199338,0.7135197060697678,0.8195032700093429,0.054034695019585896,0.3703021935879736,0.09430792671016135,105257,42261,4105,2414,0.5579613949253907,1.6390329271445763,prior_only,"pre-test hazard and recovered wafer rate, no die evidence",154037,6519,160,False,False,382.2,,,,,,,,
