experiment,repeat,fold,validation_wafers,validation_rows,validation_failures,average_precision
prior_only,0,0,31,26585,1024,0.04932334726408488
prior_only,0,1,32,32732,1541,0.05085586394672596
prior_only,0,2,32,26048,1066,0.04234616065228894
prior_only,0,3,33,32424,1298,0.06183096542734001
prior_only,0,4,32,36248,1590,0.06797435187232595
prior_only,1,0,32,25916,1078,0.04867838377188368
prior_only,1,1,31,25662,1003,0.03945779358663569
prior_only,1,2,32,30330,1291,0.05779387281336246
prior_only,1,3,33,40619,1657,0.05734369559332811
prior_only,1,4,32,31510,1490,0.06782177788638674
prior_only,2,0,31,35181,1506,0.05643382395594296
prior_only,2,1,31,30797,1576,0.050313226785679496
prior_only,2,2,32,29296,1366,0.0711699639375865
prior_only,2,3,33,29062,1005,0.035663609855559775
prior_only,2,4,33,29701,1066,0.042510363559856476
block_only,0,0,31,26585,1024,0.14817096446450917
block_only,0,1,32,32732,1541,0.17974845868682313
block_only,0,2,32,26048,1066,0.15063263875055996
block_only,0,3,33,32424,1298,0.15357217762056732
block_only,0,4,32,36248,1590,0.16331404176983746
block_only,1,0,32,25916,1078,0.14690380003180742
block_only,1,1,31,25662,1003,0.1549323560248007
block_only,1,2,32,30330,1291,0.16119280802597852
block_only,1,3,33,40619,1657,0.1648084269676866
block_only,1,4,32,31510,1490,0.16991877773856137
block_only,2,0,31,35181,1506,0.16627182317176026
block_only,2,1,31,30797,1576,0.18322871734796461
block_only,2,2,32,29296,1366,0.16560322281498557
block_only,2,3,33,29062,1005,0.13935039054316173
block_only,2,4,33,29701,1066,0.14480874138202637
parametric_only,0,0,31,26585,1024,0.5196963216560389
parametric_only,0,1,32,32732,1541,0.5390410486051348
parametric_only,0,2,32,26048,1066,0.5377848045899917
parametric_only,0,3,33,32424,1298,0.514781313588464
parametric_only,0,4,32,36248,1590,0.5221678862058051
parametric_only,1,0,32,25916,1078,0.5163888265475234
parametric_only,1,1,31,25662,1003,0.532477891432833
parametric_only,1,2,32,30330,1291,0.5214958300691426
parametric_only,1,3,33,40619,1657,0.5250892479136939
parametric_only,1,4,32,31510,1490,0.5360289008466442
parametric_only,2,0,31,35181,1506,0.5361333905129928
parametric_only,2,1,31,30797,1576,0.5395815704134171
parametric_only,2,2,32,29296,1366,0.5146629048120179
parametric_only,2,3,33,29062,1005,0.5267646870764817
parametric_only,2,4,33,29701,1066,0.516318292059826
A_linear,0,0,31,26585,1024,0.520141334118081
A_linear,0,1,32,32732,1541,0.5429364544683712
A_linear,0,2,32,26048,1066,0.5376291871601369
A_linear,0,3,33,32424,1298,0.5200033129417949
A_linear,0,4,32,36248,1590,0.5237748601808347
A_linear,1,0,32,25916,1078,0.5096102759349805
A_linear,1,1,31,25662,1003,0.533934819297429
A_linear,1,2,32,30330,1291,0.5243826884113928
A_linear,1,3,33,40619,1657,0.5300293301394516
A_linear,1,4,32,31510,1490,0.5409869280480917
A_linear,2,0,31,35181,1506,0.5333209388410283
A_linear,2,1,31,30797,1576,0.5422094872333274
A_linear,2,2,32,29296,1366,0.5206572957294507
A_linear,2,3,33,29062,1005,0.5209167590755661
A_linear,2,4,33,29701,1066,0.5142510193205612
A_smooth,0,0,31,26585,1024,0.5201656747891028
A_smooth,0,1,32,32732,1541,0.5428079575330798
A_smooth,0,2,32,26048,1066,0.5375452705337311
A_smooth,0,3,33,32424,1298,0.520020086169505
A_smooth,0,4,32,36248,1590,0.5238867487246424
A_smooth,1,0,32,25916,1078,0.5092955136759778
A_smooth,1,1,31,25662,1003,0.5339396149267828
A_smooth,1,2,32,30330,1291,0.5245211717732148
A_smooth,1,3,33,40619,1657,0.5299473274477929
A_smooth,1,4,32,31510,1490,0.5410564589115169
A_smooth,2,0,31,35181,1506,0.5332190695549511
A_smooth,2,1,31,30797,1576,0.5420182238222016
A_smooth,2,2,32,29296,1366,0.5207885778993367
A_smooth,2,3,33,29062,1005,0.5208566598088178
A_smooth,2,4,33,29701,1066,0.5140548415119512
A_full,0,0,31,26585,1024,0.5599038393044085
A_full,0,1,32,32732,1541,0.5754765270369303
A_full,0,2,32,26048,1066,0.6030447296721465
A_full,0,3,33,32424,1298,0.6155088226788319
A_full,0,4,32,36248,1590,0.5658502533202874
A_full,1,0,32,25916,1078,0.5878336160661806
A_full,1,1,31,25662,1003,0.5917592953438231
A_full,1,2,32,30330,1291,0.6021319929919808
A_full,1,3,33,40619,1657,0.5711541236276785
A_full,1,4,32,31510,1490,0.5677339389172203
A_full,2,0,31,35181,1506,0.5715675990177403
A_full,2,1,31,30797,1576,0.6200426665646193
A_full,2,2,32,29296,1366,0.5837264814040125
A_full,2,3,33,29062,1005,0.5620636304586784
A_full,2,4,33,29701,1066,0.5654275042192324
B_linear,0,0,31,26585,1024,0.5991085393799075
B_linear,0,1,32,32732,1541,0.6240806432985158
B_linear,0,2,32,26048,1066,0.603605003210917
B_linear,0,3,33,32424,1298,0.5935284311609534
B_linear,0,4,32,36248,1590,0.5956326915350867
B_linear,1,0,32,25916,1078,0.5856036042498883
B_linear,1,1,31,25662,1003,0.605057528967954
B_linear,1,2,32,30330,1291,0.5928383591544717
B_linear,1,3,33,40619,1657,0.606276708949479
B_linear,1,4,32,31510,1490,0.6200750014441473
B_linear,2,0,31,35181,1506,0.6099063062675085
B_linear,2,1,31,30797,1576,0.6194128896080059
B_linear,2,2,32,29296,1366,0.5938816177664893
B_linear,2,3,33,29062,1005,0.5895022512836658
B_linear,2,4,33,29701,1066,0.5894025708882986
B_smooth,0,0,31,26585,1024,0.6000162763784783
B_smooth,0,1,32,32732,1541,0.6243691545104321
B_smooth,0,2,32,26048,1066,0.6035340948401291
B_smooth,0,3,33,32424,1298,0.5934290981446121
B_smooth,0,4,32,36248,1590,0.5951183955176675
B_smooth,1,0,32,25916,1078,0.5847635885238756
B_smooth,1,1,31,25662,1003,0.6054148073442834
B_smooth,1,2,32,30330,1291,0.5932404253566902
B_smooth,1,3,33,40619,1657,0.6064659227572035
B_smooth,1,4,32,31510,1490,0.6201713217311716
B_smooth,2,0,31,35181,1506,0.6101907511063722
B_smooth,2,1,31,30797,1576,0.6193331991715504
B_smooth,2,2,32,29296,1366,0.5944253326046135
B_smooth,2,3,33,29062,1005,0.5893318582368969
B_smooth,2,4,33,29701,1066,0.5887528520792968
B_full,0,0,31,26585,1024,0.6354315661460528
B_full,0,1,32,32732,1541,0.6596027750478723
B_full,0,2,32,26048,1066,0.6706888963498209
B_full,0,3,33,32424,1298,0.6804690185740887
B_full,0,4,32,36248,1590,0.6324883545022331
B_full,1,0,32,25916,1078,0.6650334912434037
B_full,1,1,31,25662,1003,0.6572739364871226
B_full,1,2,32,30330,1291,0.6706034300897383
B_full,1,3,33,40619,1657,0.6407228698353722
B_full,1,4,32,31510,1490,0.6483791769210924
B_full,2,0,31,35181,1506,0.6487187662239589
B_full,2,1,31,30797,1576,0.6893226413075954
B_full,2,2,32,29296,1366,0.6549851619173523
B_full,2,3,33,29062,1005,0.6300084689555411
B_full,2,4,33,29701,1066,0.6386891188756827
B_no_old_fails,0,0,31,26585,1024,0.634063134437578
B_no_old_fails,0,1,32,32732,1541,0.6574023670715351
B_no_old_fails,0,2,32,26048,1066,0.6690251351140538
B_no_old_fails,0,3,33,32424,1298,0.6785645416412139
B_no_old_fails,0,4,32,36248,1590,0.6307957289658307
B_no_old_fails,1,0,32,25916,1078,0.6629863736424347
B_no_old_fails,1,1,31,25662,1003,0.6559590470569626
B_no_old_fails,1,2,32,30330,1291,0.6692228855404323
B_no_old_fails,1,3,33,40619,1657,0.639871012260959
B_no_old_fails,1,4,32,31510,1490,0.6463418885059243
B_no_old_fails,2,0,31,35181,1506,0.6471911775627974
B_no_old_fails,2,1,31,30797,1576,0.6873946185383496
B_no_old_fails,2,2,32,29296,1366,0.6522087807907075
B_no_old_fails,2,3,33,29062,1005,0.6280130360014625
B_no_old_fails,2,4,33,29701,1066,0.6382242637754192
